source	reading	korean	category	evidence	confidence	notes
エビロン	エビロン	에비론	enemy_name	00/353:63	medium	
エビデル	エビデル	에비델	enemy_name	00/353:64	medium	
エビクロス	エビクロス	에비크로스	enemy_name	00/353:65	medium	
バジリコ	バジリコ	바질리코	enemy_name	00/353:66	medium	
アボリコ	アボリコ	아보리코	enemy_name	00/353:67	medium	
ナタリコ	ナタリコ	나타리코	enemy_name	00/353:68	medium	
ユラ	ユラ	유라	enemy_name	00/353:69	high	
ユラユラ	ユラユラ	유라유라	enemy_name	00/353:70	high	
ユラリオン	ユラリオン	유라리온	enemy_name	00/353:71	medium	
タコバル	タコバル	타코발	enemy_name	00/353:72	medium	
タコバリン	タコバリン	타코바린	enemy_name	00/353:73	medium	
タコバレー	タコバレー	타코발레	enemy_name	00/353:74	medium	
ヨーヨット	ヨーヨット	요요트	enemy_name	00/353:75	medium	
ヨーシップ	ヨーシップ	요십	enemy_name	00/353:76	medium	
ヨーランド	ヨーランド	요랜드	enemy_name	00/353:77	medium	
シェルキー	シェルキー	셸키	enemy_name	00/353:78	medium	
シェルニー	シェルニー	셸니	enemy_name	00/353:79	medium	
シェルジー	シェルジー	셸지	enemy_name	00/353:80	medium	
キルプラント	キルプラント	킬플랜트	enemy_name	00/353:81	high	
キルウィード	キルウィード	킬위드	enemy_name	00/353:82	high	
キルフラワー	キルフラワー	킬플라워	enemy_name	00/353:83	high	
カーズ	カーズ	커즈	enemy_name	00/353:84	medium	
カーズナ	カーズナ	커즈나	enemy_name	00/353:85	medium	
カーズド	カーズド	커즈드	enemy_name	00/353:86	medium	
プロテクト	プロテクト	프로텍트	enemy_name	00/353:87	high	
メガプロテクト	メガプロテクト	메가프로텍트	enemy_name	00/353:88	high	
ギガプロテクト	ギガプロテクト	기가프로텍트	enemy_name	00/353:89	high	
ヌール	ヌール	누르	enemy_name	00/353:90	medium	
ヌメリー	ヌメリー	누메리	enemy_name	00/353:91	medium	
ヌメルタ	ヌメルタ	누메루타	enemy_name	00/353:92	medium	
マグニッカー	マグニッカー	마그니커	enemy_name	00/353:93	medium	
マグニルド	マグニルド	마그니르드	enemy_name	00/353:94	medium	
マグタイガー	マグタイガー	마그타이거	enemy_name	00/353:95	medium	
ダークシャドー	ダークシャドー	다크섀도	enemy_name	00/353:96	high	
レッドデビル	レッドデビル	레드데빌	enemy_name	00/353:97	high	
ブルーデーモン	ブルーデーモン	블루데몬	enemy_name	00/353:98	high	
ウインドボックス	ウインドボックス	윈드박스	enemy_name	00/353:99	high	
バキュームファン	バキュームファン	배큠팬	enemy_name	00/353:100	high	
ストームボックス	ストームボックス	스톰박스	enemy_name	00/353:101	high	
UFOサニー	UFOサニー	UFO서니	enemy_name	00/353:102	medium	
UFOトニー	UFOトニー	UFO토니	enemy_name	00/353:103	medium	
UFOジェニー	UFOジェニー	UFO제니	enemy_name	00/353:104	medium	
ゲニン	ゲニン	게닌	enemy_name	00/353:105	medium	닌자 계급명 음역
チューニン	チューニン	츄닌	enemy_name	00/353:106	medium	닌자 계급명 음역
ジョーニン	ジョーニン	죠닌	enemy_name	00/353:107	medium	닌자 계급명 음역
フデロー	フデロー	후데로	enemy_name	00/353:108	medium	
フデロー2	フデロー2	후데로2	enemy_name	00/353:109	medium	
フデロー3	フデロー3	후데로3	enemy_name	00/353:110	medium	
マグマドラゴン	マグマドラゴン	마그마드래곤	enemy_name	00/353:111	high	
ブルードラゴン	ブルードラゴン	블루드래곤	enemy_name	00/353:112	high	
イエロードラゴン	イエロードラゴン	옐로드래곤	enemy_name	00/353:113	high	
ドリームメラル	ドリームメラル	드림메랄	enemy_name	00/353:114	medium	고유 조어 음역
ドリームラピア	ドリームラピア	드림라피아	enemy_name	00/353:115	medium	고유 조어 음역
ドリームボルト	ドリームボルト	드림볼트	enemy_name	00/353:116	high	
ドリームモス	ドリームモス	드림모스	enemy_name	00/353:117	medium	
ドリームビット	ドリームビット	드림비트	enemy_name	00/353:118	medium	
メガリアA	メガリアA	메가리아A	enemy_name	00/353:119	medium	
メガリアH	メガリアH	메가리아H	enemy_name	00/353:120	medium	
メガリアW	メガリアW	메가리아W	enemy_name	00/353:121	medium	
メガリアE	メガリアE	메가리아E	enemy_name	00/353:122	medium	
エアーマン	エアーマン	에어맨	navi_name	00/353:128	high	기존 번역 용례 유지
エアーマンV2	エアーマンV2	에어맨V2	navi_name	00/353:129	high	
エアーマンV3	エアーマンV3	에어맨V3	navi_name	00/353:130	high	
クイックマン	クイックマン	퀵맨	navi_name	00/353:131	high	기존 번역 용례 유지
クイックマンV2	クイックマンV2	퀵맨V2	navi_name	00/353:132	high	
クイックマンV3	クイックマンV3	퀵맨V3	navi_name	00/353:133	high	
カットマン	カットマン	컷맨	navi_name	00/353:134	high	기존 번역 용례 유지
カットマンV2	カットマンV2	컷맨V2	navi_name	00/353:135	high	
カットマンV3	カットマンV3	컷맨V3	navi_name	00/353:136	high	
シャドーマン	シャドーマン	섀도맨	navi_name	00/353:137	high	기존 번역 용례 유지
シャドーマンV2	シャドーマンV2	섀도맨V2	navi_name	00/353:138	high	
シャドーマンV3	シャドーマンV3	섀도맨V3	navi_name	00/353:139	high	
ナイトマン	ナイトマン	나이트맨	navi_name	00/353:140	high	기존 번역 용례 유지
ナイトマンV2	ナイトマンV2	나이트맨V2	navi_name	00/353:141	high	
ナイトマンV3	ナイトマンV3	나이트맨V3	navi_name	00/353:142	high	
マグネットマン	マグネットマン	마그넷맨	navi_name	00/353:143	high	기존 번역 용례 유지
マグネットマンV2	マグネットマンV2	마그넷맨V2	navi_name	00/353:144	high	
マグネットマンV3	マグネットマンV3	마그넷맨V3	navi_name	00/353:145	high	
フリーズマン	フリーズマン	프리즈맨	navi_name	00/353:146	high	기존 번역 용례 유지
フリーズマンV2	フリーズマンV2	프리즈맨V2	navi_name	00/353:147	high	
フリーズマンV3	フリーズマンV3	프리즈맨V3	navi_name	00/353:148	high	
ゴスペル	ゴスペル	고스펠	proper_name	00/353:149	high	기존 번역 용례 유지
ヒートマン	ヒートマン	히트맨	navi_name	00/353:152	high	기존 번역 용례 유지
ヒートマンV2	ヒートマンV2	히트맨V2	navi_name	00/353:153	high	
ヒートマンV3	ヒートマンV3	히트맨V3	navi_name	00/353:154	high	
トードマン	トードマン	토드맨	navi_name	00/353:155	high	
トードマンV2	トードマンV2	토드맨V2	navi_name	00/353:156	high	
トードマンV3	トードマンV3	토드맨V3	navi_name	00/353:157	high	
サンダーマン	サンダーマン	선더맨	navi_name	00/353:158	high	기존 번역 용례 유지
サンダーマンV2	サンダーマンV2	선더맨V2	navi_name	00/353:159	high	
サンダーマンV3	サンダーマンV3	선더맨V3	navi_name	00/353:160	high	
スネークマン	スネークマン	스네이크맨	navi_name	00/353:161	high	기존 번역 용례 유지
スネークマンV2	スネークマンV2	스네이크맨V2	navi_name	00/353:162	high	
スネークマンV3	スネークマンV3	스네이크맨V3	navi_name	00/353:163	high	
ガッツマン	ガッツマン	거츠맨	navi_name	00/353:164	high	기존 번역 용례 유지
ガッツマンV2	ガッツマンV2	거츠맨V2	navi_name	00/353:165	high	
ガッツマンV3	ガッツマンV3	거츠맨V3	navi_name	00/353:166	high	
ブルース	ブルース	블루스	navi_name	00/353:167	high	기존 번역 용례 유지
ブルースV2	ブルースV2	블루스V2	navi_name	00/353:168	high	
ブルースV3	ブルースV3	블루스V3	navi_name	00/353:169	high	
ゲートマン	ゲートマン	게이트맨	navi_name	00/353:170	high	기존 번역 용례 유지
ゲートマンV2	ゲートマンV2	게이트맨V2	navi_name	00/353:171	high	
ゲートマンV3	ゲートマンV3	게이트맨V3	navi_name	00/353:172	high	
プラネットマン	プラネットマン	플래닛맨	navi_name	00/353:173	high	기존 번역 용례 유지
プラネットマンV2	プラネットマンV2	플래닛맨V2	navi_name	00/353:174	high	
プラネットマンV3	プラネットマンV3	플래닛맨V3	navi_name	00/353:175	high	
ナパームマン	ナパームマン	나팜맨	navi_name	00/353:176	high	기존 번역 용례 유지
ナパームマンV2	ナパームマンV2	나팜맨V2	navi_name	00/353:177	high	
ナパームマンV3	ナパームマンV3	나팜맨V3	navi_name	00/353:178	high	
ファラオマン	ファラオマン	파라오맨	navi_name	00/353:179	high	기존 번역 용례 유지
ファラオマンV2	ファラオマンV2	파라오맨V2	navi_name	00/353:180	high	
ファラオマンV3	ファラオマンV3	파라오맨V3	navi_name	00/353:181	high	
フォルテ	フォルテ	포르테	navi_name	00/353:182,183	high	기존 번역 용례 유지
フォルテSP	フォルテSP	포르테SP	navi_name	00/353:184	high	
きかく	きかく	기획	credit_role	00/354:10	high	
やすま まさひろ	やすま まさひろ	야스마 마사히로	staff_name	00/354:12	medium	원문 독음 기준
シナリオ	シナリオ	시나리오	credit_role	00/354:14	high	
くろさわ しん	くろさわ しん	쿠로사와 신	staff_name	00/354:16	medium	원문 독음 기준
えぐち まさかず	えぐち まさかず	에구치 마사카즈	staff_name	00/354:17	medium	원문 독음 기준
キャラクターデザイン	キャラクターデザイン	캐릭터 디자인	credit_role	00/354:20	high	
いしはら ゆうじ	いしはら ゆうじ	이시하라 유지	staff_name	00/354:22	medium	원문 독음 기준
かじ はやと	かじ はやと	카지 하야토	staff_name	00/354:23	medium	원문 독음 기준
ゲートマンデザイン	ゲートマンデザイン	게이트맨 디자인	credit_role	00/354:25	high	
さとかわ	さとかわ	사토카와	staff_name	00/354:26	medium	다음 엔트리와 한 이름을 이룸
しょういちろう	しょういちろう	쇼이치로	staff_name	00/354:27	medium	앞 엔트리와 한 이름을 이룸
オブジェクト	オブジェクト	오브젝트	credit_role	00/354:32	high	
はしなが ともゆき	はしなが ともゆき	하시나가 토모유키	staff_name	00/354:34	medium	원문 독음 기준
さとう かずたか	さとう かずたか	사토 카즈타카	staff_name	00/354:35	medium	원문 독음 기준
スクロール	スクロール	스크롤	credit_role	00/354:41	high	
きじま みき	きじま みき	키지마 미키	staff_name	00/354:43	medium	원문 독음 기준
よしおか まゆみ	よしおか まゆみ	요시오카 마유미	staff_name	00/354:44	medium	원문 독음 기준
なべしま もとき	なべしま もとき	나베시마 모토키	staff_name	00/354:45	medium	원문 독음 기준
プログラム	プログラム	프로그램	credit_role	00/354:51	high	
まつだ こうえつ	まつだ こうえつ	마츠다 코에츠	staff_name	00/354:53	medium	원문 독음 기준
しんがき ひでかず	しんがき ひでかず	신가키 히데카즈	staff_name	00/354:54	medium	원문 독음 기준
かたおか みちのり	かたおか みちのり	카타오카 미치노리	staff_name	00/354:55	medium	원문 독음 기준
さかの みつのり	さかの みつのり	사카노 미츠노리	staff_name	00/354:56	medium	원문 독음 기준
おんがく	おんがく	음악	credit_role	00/354:60	high	
あおき よしの	あおき よしの	아오키 요시노	staff_name	00/354:62	medium	원문 독음 기준
こうかおん	こうかおん	효과음	credit_role	00/354:64	high	
あまぎし しんじ	あまぎし しんじ	아마기시 신지	staff_name	00/354:66	medium	원문 독음 기준
オフィシャルイラスト	オフィシャルイラスト	공식 일러스트	credit_role	00/354:72	high	
こまき しんすけ	こまき しんすけ	코마키 신스케	staff_name	00/354:74	medium	원문 독음 기준
ひぐらし りゅうじ	ひぐらし りゅうじ	히구라시 류지	staff_name	00/354:75	medium	원문 독음 기준
マニュアルせいさく	マニュアルせいさく	매뉴얼 제작	credit_role	00/354:80	high	
いわさき あけみ	いわさき あけみ	이와사키 아케미	staff_name	00/354:82	medium	원문 독음 기준
バグチェックとうかつ	バグチェックとうかつ	버그 체크 총괄	credit_role	00/354:84	high	
むかい まさやす	むかい まさやす	무카이 마사야스	staff_name	00/354:86	medium	원문 독음 기준
スペシャルサンクス!	スペシャルサンクス!	스페셜 땡스!	credit_role	00/354:91,100,110,121	high	반복 크레딧 표기
かわの よしのり	かわの よしのり	카와노 요시노리	staff_name	00/354:93	medium	원문 독음 기준
なかむら ひろこ	なかむら ひろこ	나카무라 히로코	staff_name	00/354:95	medium	원문 독음 기준
たなか さら	たなか さら	타나카 사라	staff_name	00/354:96	medium	원문 독음 기준
さわだ よしみ	さわだ よしみ	사와다 요시미	staff_name	00/354:102	medium	원문 독음 기준
ふなはら くにお	ふなはら くにお	후나하라 쿠니오	staff_name	00/354:103	medium	원문 독음 기준
わたなべ ゆうすけ	わたなべ ゆうすけ	와타나베 유스케	staff_name	00/354:104	medium	원문 독음 기준
うかい さとし	うかい さとし	우카이 사토시	staff_name	00/354:105	medium	원문 독음 기준
やすだ ゆうこ	やすだ ゆうこ	야스다 유코	staff_name	00/354:106	medium	원문 독음 기준
きたはら たかし	きたはら たかし	키타하라 타카시	staff_name	00/354:112	medium	원문 독음 기준
みなみで なおと	みなみで なおと	미나미데 나오토	staff_name	00/354:113	medium	원문 독음 기준
おやま あきら	おやま あきら	오야마 아키라	staff_name	00/354:114	medium	원문 독음 기준
いりえ ひろゆき	いりえ ひろゆき	이리에 히로유키	staff_name	00/354:115	medium	원문 독음 기준
ほんやくぶたいの	ほんやくぶたいの	번역 부대	credit_text	00/354:116	high	다음 엔트리와 자연스럽게 연결되도록 조사 생략
みんな	みんな	여러분	credit_text	00/354:117	high	앞 엔트리와 이어짐
だい2かいはつぶのみんな	だい2かいはつぶのみんな	제2개발부 여러분	credit_text	00/354:123	high	
カプコンのみんな	カプコンのみんな	캡콤 여러분	credit_text	00/354:125	high	
プロデューサー	プロデューサー	프로듀서	credit_role	00/354:132	high	
いなふね けいじ	いなふね けいじ	이나후네 케이지	staff_name	00/354:134	high	공식적으로 널리 쓰이는 독음
クリアじかん	クリアじかん	클리어 시간	ui_term	00/354:143	high	동적 시간 값 앞 표기
データライブラリ	データライブラリ	데이터 라이브러리	ui_term	00/354:144;00/355:46	high	
ロックマンLV.	ロックマンLV.	록맨 LV.	ui_term	00/354:146	high	동적 레벨 값 앞 표기
デリートタイム	デリートタイム	딜리트 타임	ui_term	00/355:0	high	
バスティングレベル	バスティングレベル	버스팅 레벨	ui_term	00/355:2	high	
エアーマン戦	エアーマン戦	에어맨전	battle_label	00/355:20	high	
ガッツマン戦	ガッツマン戦	거츠맨전	battle_label	00/355:21	high	
トードマン戦	トードマン戦	토드맨전	battle_label	00/355:22	high	
クイックマン戦	クイックマン戦	퀵맨전	battle_label	00/355:23	high	
ゲートマン戦	ゲートマン戦	게이트맨전	battle_label	00/355:24	high	
カットマン戦	カットマン戦	컷맨전	battle_label	00/355:25	high	
シャドーマン戦	シャドーマン戦	섀도맨전	battle_label	00/355:26	high	
サンダーマン戦	サンダーマン戦	선더맨전	battle_label	00/355:27	high	
スネークマン戦	スネークマン戦	스네이크맨전	battle_label	00/355:28	high	
ブルース戦	ブルース戦	블루스전	battle_label	00/355:29	high	
ナイトマン戦	ナイトマン戦	나이트맨전	battle_label	00/355:30	high	
マグネットマン戦	マグネットマン戦	마그넷맨전	battle_label	00/355:31	high	
ヒートマン戦	ヒートマン戦	히트맨전	battle_label	00/355:32	high	
フリーズマン戦	フリーズマン戦	프리즈맨전	battle_label	00/355:33	high	
ゴスペル戦	ゴスペル戦	고스펠전	battle_label	00/355:34	high	
フォルテ戦	フォルテ戦	포르테전	battle_label	00/355:35	high	
ファラオマン戦	ファラオマン戦	파라오맨전	battle_label	00/355:36	high	
ナパームマン戦	ナパームマン戦	나팜맨전	battle_label	00/355:37	high	
プラネットマン戦	プラネットマン戦	플래닛맨전	battle_label	00/355:38	high	
真フォルテ戦	真フォルテ戦	진 포르테전	battle_label	00/355:39	high	
そうプレイじかん	そうプレイじかん	총 플레이 시간	ui_term	00/355:40	high	
そうせんとう回数	そうせんとうかいすう	총 전투 횟수	ui_term	00/355:41	high	
たおしたテキの数	たおしたテキのかず	쓰러뜨린 적 수	ui_term	00/355:42	high	
へいきんデリートタイム	へいきんデリートタイム	평균 딜리트 타임	ui_term	00/355:43	high	
へいきんバスティングレベル	へいきんバスティングレベル	평균 버스팅 레벨	ui_term	00/355:44	high	
にげた回数	にげたかいすう	도망친 횟수	ui_term	00/355:45	high	
P・Aメモ	P・Aメモ	P・A 메모	ui_term	00/355:47	high	
はい	はい	예	choice	00/356:0	high	공통 긍정 선택지
いいえ	いいえ	아니요	choice	00/356:0	high	공통 부정 선택지
バトルチップ	バトルチップ	배틀칩	game_term	00/356:0	high	
チップデータ	チップデータ	칩 데이터	game_term	00/356:3	high	
チップトレーダー	チップトレーダー	칩 트레이더	device	00/356:0	high	
チップトレーダースペシャル	チップトレーダースペシャル	칩 트레이더 스페셜	device	00/356:6	high	
レトロチップ	レトロチップ	레트로 칩	game_term	00/356:12	high	EXE1에서 가져오는 칩
レトロチップトレーダー	レトロチップトレーダー	레트로 칩 트레이더	device	00/356:12	high	
ロックマンエグゼ	ロックマンエグゼ	록맨 에그제	game_title	00/356:13	high	전작 게임 제목
つうしんエラー	つうしんエラー	통신 오류	system_message	00/356:14	high	
フィストシリーズ	フィストシリーズ	피스트 시리즈	chip_series	00/357:71	high	
サテライト1	サテライトワン	새틀라이트1	chip_name	00/357:72	high	칩 코드 G는 본문에서 별도 유지
SSSしけん	エスエスエスしけん	SSS 시험	exam_name	00/357:73	high	
SSしけん	エスエスしけん	SS 시험	exam_name	00/357:74	high	
ミニエネルギー	ミニエネルギー	미니 에너지	item_name	00/357:76	high	
フルエネルギー	フルエネルギー	풀 에너지	item_name	00/357:76	high	
キャノン	キャノン	캐논	chip_name	00/357:77	high	
メットガード	メットガード	메트가드	chip_name	00/357:79	high	
ゼニー	ゼニー	제니	currency	00/357:78	high	
熱斗	ねっと	넷토	character_name	00/358:0	high	
ロックマン.EXE	ロックマンエグゼ	록맨.EXE	character_name	00/358:0	high	표시 문자열의 점 표기 유지
PET	ピーイーティー	PET	device	00/358:18	high	
やいと	やいと	야이토	character_name	00/358:3	high	
ジャンボーズ	ジャンボーズ	점보즈	baseball_team	00/358:7	high	기존 번역 표기
きよまつ	きよまつ	키요마츠	character_name	00/358:7	high	기존 번역 표기
おくデンだに	おくデンだに	오쿠덴 계곡	location	00/358:8	high	기존 번역 표기
アジーナ	アジーナ	아지나	location	00/358:14	high	
アメロッパ	アメロッパ	아메롭파	location	00/358:22	high	
コトブキ町	コトブキちょう	코토부키 마을	location	00/358:41	high	
マリンハーバー	マリンハーバー	마린하버	location	00/358:41	high	
メトロライン	メトロライン	메트로라인	transport	00/358:41	high	
オフィシャルセンター	オフィシャルセンター	오피셜 센터	location	00/358:59	high	
オフィシャルスクエア	オフィシャルスクエア	오피셜 스퀘어	location	00/358:65	high	
アジーナスクエア	アジーナスクエア	아지나 스퀘어	location	00/358:66	high	
アメロッパスクエア	アメロッパスクエア	아메롭파 스퀘어	location	00/358:67	high	
コトブキスクエア	コトブキスクエア	코토부키 스퀘어	location	00/358:68	high	
ネットバトラー	ネットバトラー	넷배틀러	game_term	00/358:59	high	
オペレータ	オペレータ	오퍼레이터	game_term	00/358:58	high	
Bライセンス	ビーライセンス	B 라이선스	license	00/358:4	high	
Aライセンス	エーライセンス	A 라이선스	license	00/358:60	high	
Sライセンス	エスライセンス	S 라이선스	license	00/358:61	high	
SSライセンス	エスエスライセンス	SS 라이선스	license	00/358:62	high	
SSSライセンス	エスエスエスライセンス	SSS 라이선스	license	00/358:63	high	
メイル	メイル	메일	character_name	00/358:24	high	
デカオ	デカオ	데카오	character_name	00/358:81	high	
ケロ	ケロ	케로	character_name	00/358:83	high	
ラウル	ラウル	라울	character_name	00/358:84	high	
ミリオネア	ミリオネア	밀리어네어	character_name	00/358:85	high	기존 번역 표기
オフィシャルネットバトラー	オフィシャルネットバトラー	오피셜 넷배틀러	game_term	00/358:86	high	
セキュリティキューブ	セキュリティキューブ	보안 큐브	game_term	00/358:87	high	
秋原町	あきはらちょう	아키하라 마을	location	00/358:88	high	
マリンえき	マリンえき	마린역	location	00/358:89	high	원문 표기 유지
おくデンえき	おくデンえき	오쿠덴역	location	00/358:90	high	원문 표기 유지
くうこうえき	くうこうえき	공항역	location	00/358:91	high	원문 표기 유지
レギュラーシステム	レギュラーシステム	레귤러 시스템	game_term	00/358:98	high	
ミステリーデータ	ミステリーデータ	미스터리 데이터	game_term	00/358:115	high	
ゆうきのデータ	ゆうきのデータ	용기 데이터	item_name	00/359:1	high	
きぼうのデータ	きぼうのデータ	희망 데이터	item_name	00/359:2	high	
せんす	せんす	부채	item_name	00/359:3	high	문맥상 접는 부채
じゅけんひょう	じゅけんひょう	수험표	item_name	00/359:4	high	
あるきプログラム	あるきプログラム	걷기 프로그램	item_name	00/359:5	high	
やさしさのデータ	やさしさのデータ	상냥함 데이터	item_name	00/359:6	high	
しんぶんし	しんぶんし	신문	item_name	00/359:7	high	
ライター	ライター	라이터	item_name	00/359:8	high	
ぼうきれ	ぼうきれ	나뭇가지	item_name	00/359:9	high	
オペラグラス	オペラグラス	오페라글라스	item_name	00/359:10	high	
ほうちょう	ほうちょう	식칼	item_name	00/359:11	high	
まき木	まきぎ	장작	item_name	00/359:12	high	
サカナ	サカナ	물고기	item_name	00/359:13	high	
フウセン	フウセン	풍선	item_name	00/359:14	high	
ナゾのプログラム	ナゾのプログラム	수수께끼 프로그램	item_name	00/359:15	high	
ワルのデータA	ワルのデータエー	악당 데이터 A	item_name	00/359:16	high	
ワルのデータB	ワルのデータビー	악당 데이터 B	item_name	00/359:17	high	A와 짝을 이루는 명칭
じゅうでんでんち	じゅうでんでんち	충전지	item_name	00/359:18	high	기존 대사 용례 유지
アジーナのカギ	アジーナのカギ	아지나의 열쇠	item_name	00/359:19	high	
メッセージデータ	メッセージデータ	메시지 데이터	item_name	00/359:20	high	
チェンジ.bat	チェンジドットバット	체인지.bat	item_name	00/359:21	high	파일 확장자 보존
こうくうけん	こうくうけん	항공권	item_name	00/359:22	high	
パスポート	パスポート	여권	item_name	00/359:23	high	
ワイヤレスプラグ	ワイヤレスプラグ	무선 플러그	item_name	00/359:24	high	기존 대사 용례 유지
ミニPET	ミニペット	미니 PET	item_name	00/359:25	high	PET 표기 보존
電脳カギ	でんのうカギ	전뇌 열쇠	item_name	00/359:26	high	
ヒスイのブローチ	ヒスイのブローチ	비취 브로치	item_name	00/359:27	high	
アメロンガーX	アメロンガーエックス	아메론가 X	item_name	00/359:28	high	00/37 기존 번역 용례 유지
カルティーリング	カルティーリング	칼티 링	item_name	00/359:29	medium	고유 상품명 음역
きちょうのぼうし	きちょうのぼうし	기장 모자	item_name	00/359:30	high	설명문 문맥 반영
わりばし	わりばし	나무젓가락	item_name	00/359:31	high	
ウイスキー	ウイスキー	위스키	item_name	00/359:32	high	
さいほういと	さいほういと	재봉실	item_name	00/359:33	high	
あかのかけら	あかのかけら	붉은 조각	item_name	00/359:34	high	
あかワクチン	あかワクチン	적색 백신	item_name	00/359:35	high	색상 계열 명칭 통일
しゃくねつデータ	しゃくねつデータ	작열 데이터	item_name	00/359:36	high	기존 대사 용례 유지
きいろワクチン	きいろワクチン	황색 백신	item_name	00/359:37	high	색상 계열 명칭 통일
あおのかけらA	あおのかけらエー	푸른 조각 A	item_name	00/359:38	high	
あおのかけらB	あおのかけらビー	푸른 조각 B	item_name	00/359:39	high	
ゴスペルのあかし	ゴスペルのあかし	고스펠의 증표	item_name	00/359:40	high	
